dish,borna,borda_normalized,dowall,dowall_normalized,condorcet_count,num_votes
red spice chicken,64.69230769230768,0.5529257067718605,40.96399156399157,0.350119586017022,7.0,117
honey mustard chicken,54.30769230769232,0.48489010989011,22.996903096903083,0.20532949193663466,3.0,112
chicken enchiladas,59.76923076923075,0.5152519893899202,29.8688256188256,0.25748987602435863,0.0,116
chicken from the grill,59.6923076923077,0.5282505105513956,28.865906315906297,0.2554504983708522,4.0,113
chicken parmesan,90.99999999999993,0.7279999999999994,59.354797979798036,0.4748383838383843,12.0,125
chicken nuggets,74.07692307692307,0.6277705345501955,35.639296814296806,0.3020279391042102,1.0,118
chicken tendies,86.69230769230758,0.7105926860025211,51.90231990231994,0.42542885165836014,10.0,122
general tso's chicken,70.99999999999999,0.5916666666666666,39.63288655788656,0.3302740546490546,8.0,120
popcorn chicken,74.5384615384615,0.7167159763313606,47.519949494949536,0.4569225912975917,11.0,104
butter chicken,46.538461538461526,0.5349248452696728,26.0838578088578,0.2998144575730782,5.0,87
spicy chicken with chiles,30.846153846153843,0.4005994005994006,13.648237873237871,0.17724984250958276,0.0,77
fried buttermilk chicken,48.3076923076923,0.5617173524150267,26.377378177378173,0.3067136997369555,3.0,86
brunch chicken stuffed with broccoli,54.07692307692306,0.6288014311270124,39.75202575202578,0.46223285758169513,5.0,86
